,Idx,Open,High,Low,Close,Volume,Date
151,151,109.965,109.965,109.65,109.65,2600,2021-01-21 09:30:00-05:00
151,151,109.965,109.965,109.65,109.65,2600,2021-01-21 09:31:00-05:00
152,152,109.6,109.8,109.17,109.8,7009,2021-01-21 09:32:00-05:00
153,153,109.845,110.07,109.03,109.12,18290,2021-01-21 09:33:00-05:00
154,154,109.01,109.36,108.04,108.04,39573,2021-01-21 09:34:00-05:00
155,155,108.08,108.3,107.99,108.21,49496,2021-01-21 09:35:00-05:00
156,156,108.2,108.32,108.03,108.275,16136,2021-01-21 09:36:00-05:00
157,157,108.28,108.51,108.18,108.5,7194,2021-01-21 09:37:00-05:00
158,158,108.525,108.76,108.42,108.51,15924,2021-01-21 09:38:00-05:00
159,159,108.455,108.59,108.0904,108.55,19084,2021-01-21 09:39:00-05:00
160,160,108.58,108.59,107.78,107.89,99412,2021-01-21 09:40:00-05:00
161,161,107.87,108.08,107.87,108.07,4848,2021-01-21 09:41:00-05:00
162,162,108.09,108.15,107.64,107.69,29331,2021-01-21 09:42:00-05:00
163,163,107.72,108.0,107.66,107.78,26073,2021-01-21 09:43:00-05:00
164,164,107.78,107.84,107.58,107.6,30790,2021-01-21 09:44:00-05:00
165,165,107.52,107.63,107.41,107.63,12423,2021-01-21 09:45:00-05:00
166,166,107.66,107.7,107.31,107.4,23680,2021-01-21 09:46:00-05:00
167,167,107.39,107.53,107.18,107.18,17856,2021-01-21 09:47:00-05:00
168,168,107.225,107.4,107.12,107.305,45709,2021-01-21 09:48:00-05:00
169,169,107.39,107.5,107.085,107.125,26139,2021-01-21 09:49:00-05:00
170,170,107.125,107.53,107.05,107.39,25963,2021-01-21 09:50:00-05:00
171,171,107.42,107.56,107.19,107.56,17576,2021-01-21 09:51:00-05:00
172,172,107.48,107.71,107.23,107.31,43211,2021-01-21 09:52:00-05:00
173,173,107.31,107.51,107.1,107.205,41513,2021-01-21 09:53:00-05:00
174,174,107.16,107.42,107.14,107.22,20192,2021-01-21 09:54:00-05:00
175,175,107.14,107.3148,107.09,107.255,18482,2021-01-21 09:55:00-05:00
176,176,107.22,107.3718,107.2,107.32,7324,2021-01-21 09:56:00-05:00
177,177,107.32,107.6,107.32,107.34,13519,2021-01-21 09:57:00-05:00
178,178,107.34,107.4,107.2164,107.315,12521,2021-01-21 09:58:00-05:00
179,179,107.24,107.39,107.0,107.27,22165,2021-01-21 09:59:00-05:00
180,180,107.27,107.345,107.12,107.205,5975,2021-01-21 10:00:00-05:00
181,181,107.21,107.52,107.13,107.24,41820,2021-01-21 10:01:00-05:00
182,182,107.24,107.35,107.17,107.17,8899,2021-01-21 10:02:00-05:00
183,183,107.14,107.29,107.07,107.22,5750,2021-01-21 10:03:00-05:00
184,184,107.225,107.4,107.225,107.39,3637,2021-01-21 10:04:00-05:00
185,185,107.39,107.55,107.37,107.5,7178,2021-01-21 10:05:00-05:00
186,186,107.48,107.6,107.23,107.45,19556,2021-01-21 10:06:00-05:00
187,187,107.46,107.48,107.31,107.365,7678,2021-01-21 10:07:00-05:00
188,188,107.355,107.4304,107.35,107.38,4241,2021-01-21 10:08:00-05:00
189,189,107.43,107.48,107.31,107.31,6889,2021-01-21 10:09:00-05:00
190,190,107.3,107.3,107.13,107.24,4361,2021-01-21 10:10:00-05:00
191,191,107.29,107.4,107.255,107.4,2609,2021-01-21 10:11:00-05:00
192,192,107.2677,107.48,107.2677,107.4,1580,2021-01-21 10:12:00-05:00
193,193,107.42,107.63,107.42,107.57,98403,2021-01-21 10:13:00-05:00
194,194,107.51,107.77,107.5,107.73,6624,2021-01-21 10:14:00-05:00
195,195,107.79,107.8994,107.71,107.8994,7675,2021-01-21 10:15:00-05:00
