,Idx,Open,High,Low,Close,Volume,Date
151,151,109.965,109.965,109.65,109.65,2600,2021-01-21 09:30:00-05:00
151,151,109.965,109.965,109.65,109.65,2600,2021-01-21 09:31:00-05:00
152,152,109.6,109.8,109.17,109.8,7009,2021-01-21 09:32:00-05:00
153,153,109.845,110.07,109.03,109.12,18290,2021-01-21 09:33:00-05:00
154,154,109.01,109.36,108.04,108.04,39573,2021-01-21 09:34:00-05:00
155,155,108.08,108.3,107.99,108.21,49496,2021-01-21 09:35:00-05:00
156,156,108.2,108.32,108.03,108.275,16136,2021-01-21 09:36:00-05:00
157,157,108.28,108.51,108.18,108.5,7194,2021-01-21 09:37:00-05:00
158,158,108.525,108.76,108.42,108.51,15924,2021-01-21 09:38:00-05:00
159,159,108.455,108.59,107.08,108.55,19084,2021-01-21 09:39:00-05:00
160,160,108.58,108.59,107.78,107.89,99412,2021-01-21 09:40:00-05:00
161,161,107.87,108.08,107.87,108.07,4848,2021-01-21 09:41:00-05:00
162,162,108.09,108.15,107.64,107.69,29331,2021-01-21 09:42:00-05:00
163,163,107.72,108.0,107.66,107.78,26073,2021-01-21 09:43:00-05:00
164,164,107.78,107.84,107.58,107.6,30790,2021-01-21 09:44:00-05:00
165,165,107.52,107.63,107.41,107.63,12423,2021-01-21 09:45:00-05:00
166,166,107.66,107.7,107.31,107.4,23680,2021-01-21 09:46:00-05:00
167,167,107.39,107.53,107.18,107.18,17856,2021-01-21 09:47:00-05:00
168,168,107.225,107.71,107.12,107.305,45709,2021-01-21 09:48:00-05:00
169,169,107.39,107.5,107.085,107.125,26139,2021-01-21 09:49:00-05:00
170,170,107.30,107.71,107.30,107.39,25963,2021-01-21 09:50:00-05:00
171,171,107.42,107.56,107.19,107.56,17576,2021-01-21 09:51:00-05:00
172,172,107.48,107.71,107.23,107.31,43211,2021-01-21 09:52:00-05:00
